;Janeiro;Fevereiro;Março;Abril
Número de pessoas Cadastradas;72606;73286;74090;74850
Quantidade Pessoas Física;66365;67013;67760;68475
Quandidade Pessoas Juridica;6241;6273;6330;6375
Quantidade Drones;90696;91576;92776;93729
Drones Uso Recreativo;52094;52335;52675;52906
Drones Uso Profissional;38602;39241;40101;40823
GO;2654;2694;2721;2775
MA;835;847;870;882
CE;1844;1843;1900;1931
PB;794;796;808;825
PI;375;376;377;393
SP;30624;30843;31189;31420
RN;1009;1025;1040;1061
DF;2939;2949;2924;2925
PA;1340;1347;1363;1383
RS;4633;4698;4755;4800
SE;800;807;817;826
UF Não Informado;97;102;91;85
RJ;8956;8983;9069;9142
AC;159;155;153;157
AL;505;512;513;527
RO;542;549;556;559
PR;5995;6058;6128;6179
ES;1816;1850;1900;1911
SC;4510;4575;4644;4705
AM;968;965;969;979
BA;3587;3633;3669;3709
TO;377;384;394;405
MG;9561;9714;9946;10099
MS;1646;1687;1730;1766
RR;210;215;223;232
AP;170;176;176;188
PE;2224;2229;2249;2248
MT;1526;1564;1602;1617
